id,filing_id,judge_name
1497,519,"Specific Requirements"
1498,527,"Derek T. Gilliland"
1499,769,"Gary Gensler"
1500,769,"Hester Peirce"
1501,769,"Caroline Crenshaw"
1502,769,"Mark Uyeda"
1503,769,"Jaime Liz"
1504,894,"Investor Account"
1505,804,"Mary Rowland"
1506,630,"Michael A. Hammer"
1507,694,"Lewis A. Kaplan"
1508,694,"Lewis Kaplan"
1509,1278,"James L. Cott"
1510,1419,"Katherine B. Forrest"
1511,284,"Denise L. Cote"
1512,284,"Sarah Netburn"
1513,326,"Rachel P. Kovner"
1514,326,"Cheryl L. Pollak"
1515,451,"Richard C. Miadich"
1516,490,"Nathanael M. Cousins"
1517,496,"Valerie E. Caproni"
1518,496,"Jennifer Willis"
1519,511,"Maxine M. Chesney"
1520,511,"Rita F. Lin"
1521,511,"Charles R. Breyer"
1522,524,"James I. Montgomery"
1523,524,"Michael R. Amerian"
1524,524,"Gary D. Roberts"
1525,539,"John Dorsey"
1526,539,"John T. Dorsey"
1527,539,"Lewis A. Kaplan"
1528,547,"William P. Dimitrouleas"
1529,547,"Patrick M. Hunt"
1530,547,"Roy K. Altman"
1531,547,"Jacqueline Becerra"
1532,547,"Lisette M. Reid"
1533,566,"Vince Chhabria"
1534,585,"Cecilia M. Romero"
1535,586,"Howard C. Nielson"
1536,586,"Daphne A. Oberg"
1537,707,"Roy Altman"
1538,707,"Ursula Ungaro"
1539,707,"Michael E. Wiles"
1540,716,"John P. Cronan"
1541,716,"Sarah L. Cave"
1542,717,"Vernon S. Broderick"
1543,717,"James L. Cott"
1544,717,"Laura Taylor"
1545,775,"David  Huebner"
1546,775,"Jay C. Gandhi"
1547,1115,"George B. Daniels"
1548,512,"Sean H. Lane"
1549,744,"Janet Yellen"
1550,744,"Alejandro Mayorkas"
1551,744,"Gary Gensler"
1552,744,"Rostin Behnam"
1553,1237,"Bitcoin Ecosystem"
1554,1324,"Ron Wyden"
1555,1434,"Brian R. Martinotti"
1556,1434,"Leda D. Wettre"
