filing_id,topic
282,"Market Manipulation"
283,DAO
284,Other
285,"Money Laundering"
285,Stablecoin
285,Exchange
286,Other
287,Lending
288,Other
289,NFT
290,Other
291,Other
292,Other
293,Fraud/Ponzi
293,Stablecoin
293,"ICO/Token Sale"
293,Exchange
294,DeFi
295,"ICO/Token Sale"
296,Fraud/Ponzi
296,Mining
296,Exchange
297,Other
298,Exchange
299,Stablecoin
300,DeFi
301,Other
302,Wallet/Custody
303,Other
304,"Money Laundering"
304,Stablecoin
304,Staking
304,Wallet/Custody
304,Exchange
305,Other
306,Stablecoin
306,Exchange
307,Other
308,Stablecoin
309,Mining
310,NFT
311,Other
312,DeFi
313,Fraud/Ponzi
313,Ransomware
313,"Money Laundering"
313,"Market Manipulation"
313,Privacy/Mixer
313,Stablecoin
313,Staking
313,Mining
313,"ICO/Token Sale"
313,Wallet/Custody
313,Exchange
314,Other
315,NFT
316,Other
317,Fraud/Ponzi
318,Other
319,Fraud/Ponzi
320,Other
321,Stablecoin
321,DeFi
322,Other
323,Other
324,Exchange
325,Stablecoin
326,Fraud/Ponzi
326,"Money Laundering"
326,Stablecoin
326,Mining
326,Exchange
327,Other
328,Staking
329,Exchange
330,Other
331,Other
332,Stablecoin
333,Exchange
334,Exchange
335,Exchange
336,NFT
336,DeFi
336,Wallet/Custody
336,Exchange
337,Fraud/Ponzi
337,"Money Laundering"
337,Exchange
338,DeFi
339,Stablecoin
340,Other
341,Fraud/Ponzi
342,Other
343,Exchange
344,Other
345,Other
346,Fraud/Ponzi
346,"Market Manipulation"
346,NFT
346,Stablecoin
346,DeFi
346,"ICO/Token Sale"
346,Exchange
347,Staking
348,Staking
349,Staking
350,Other
351,NFT
351,DAO
351,Stablecoin
351,DeFi
351,"ICO/Token Sale"
351,Wallet/Custody
351,Exchange
352,Other
353,Staking
353,Exchange
354,Exchange
355,Fraud/Ponzi
356,Exchange
357,Other
358,Stablecoin
359,Stablecoin
360,Other
361,Stablecoin
362,NFT
362,Stablecoin
363,Other
364,Fraud/Ponzi
364,"Money Laundering"
364,Stablecoin
364,"ICO/Token Sale"
364,Wallet/Custody
365,Other
366,Fraud/Ponzi
367,Fraud/Ponzi
367,NFT
368,"Market Manipulation"
368,"ICO/Token Sale"
368,Exchange
369,Exchange
370,Fraud/Ponzi
370,"Money Laundering"
370,"Insider Trading"
372,Other
373,Fraud/Ponzi
373,NFT
374,Other
375,Fraud/Ponzi
375,Exchange
376,DeFi
376,Lending
376,Staking
377,DeFi
378,DeFi
379,DeFi
380,Other
381,DeFi
382,Other
383,Stablecoin
383,Mining
384,Exchange
385,Staking
385,Exchange
386,Other
387,Staking
388,Staking
388,Exchange
389,Exchange
390,Exchange
391,Fraud/Ponzi
391,Mining
391,"ICO/Token Sale"
391,Exchange
392,Lending
393,NFT
393,DAO
393,Stablecoin
393,Staking
393,Mining
393,"ICO/Token Sale"
394,Other
396,Exchange
397,Exchange
398,Exchange
399,"Money Laundering"
399,Stablecoin
399,Exchange
400,Exchange
401,Exchange
402,Exchange
403,Exchange
404,NFT
405,Stablecoin
405,DeFi
406,Fraud/Ponzi
407,Lending
408,Fraud/Ponzi
408,NFT
409,Fraud/Ponzi
409,Exchange
410,"Market Manipulation"
411,"Market Manipulation"
411,Exchange
412,Other
413,Fraud/Ponzi
413,"Money Laundering"
413,"Market Manipulation"
413,NFT
413,DAO
413,Stablecoin
413,DeFi
413,Lending
413,Staking
413,Mining
413,"ICO/Token Sale"
413,Wallet/Custody
413,Exchange
414,Exchange
415,Exchange
416,Fraud/Ponzi
416,"Money Laundering"
416,Privacy/Mixer
416,DAO
416,Lending
416,Exchange
417,"Money Laundering"
417,Stablecoin
418,Fraud/Ponzi
418,"Money Laundering"
418,Stablecoin
418,DeFi
418,Mining
418,Wallet/Custody
418,Exchange
419,Exchange
420,"Money Laundering"
420,"Market Manipulation"
420,Stablecoin
420,DeFi
420,"ICO/Token Sale"
421,Mining
422,Fraud/Ponzi
423,DeFi
424,Other
425,Exchange
426,Fraud/Ponzi
426,"Market Manipulation"
427,Fraud/Ponzi
427,"Money Laundering"
427,DAO
427,Exchange
428,Fraud/Ponzi
428,"Market Manipulation"
428,NFT
428,DAO
428,Stablecoin
428,Lending
428,Staking
428,"ICO/Token Sale"
428,Wallet/Custody
428,Exchange
429,"Insider Trading"
430,"Money Laundering"
431,Mining
432,DAO
432,Staking
432,Wallet/Custody
432,Exchange
433,Other
434,Fraud/Ponzi
434,"Market Manipulation"
435,NFT
436,"Money Laundering"
436,Privacy/Mixer
436,Exchange
437,DAO
437,"ICO/Token Sale"
437,Exchange
438,Lending
439,Fraud/Ponzi
439,DeFi
439,"ICO/Token Sale"
439,Exchange
440,Ransomware
440,"Market Manipulation"
441,"Money Laundering"
441,Privacy/Mixer
441,Exchange
442,"Money Laundering"
443,"Money Laundering"
443,Privacy/Mixer
444,Other
445,DeFi
445,"ICO/Token Sale"
445,Exchange
446,"Money Laundering"
446,DeFi
446,Exchange
447,Fraud/Ponzi
448,Other
449,Other
