filing_id,investment_of_money,common_enterprise,expectation_of_profits,efforts_of_others,howey_discussed,key_quotes
282,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
283,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
284,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
285,alleged,alleged,not_satisfied,alleged,1,"[""Howey Test \nSection 2(a)(1) of the Securities Act and Section 3(a)(10) of the Exchange Act each \ndefines the term “security” and lists a variety of instruments that are securities."",""Howey\n6\n “investment contract” test to \ndetermine whether they should be considered a “security” under the Securities Act and the \nExchange Act."",""Howey test requires an assessment of whether there is (1) an investment of money; \n(2 ) in a common enterprise; (3) with a reasonable expectation of profits; (4) derived from the \nefforts of others."",""Howey test \nand conclude that MegPrime tokens are not investment contracts because there is no \nreasonable expectation of profits."",""investment contract” test to \ndetermine whether they should be considered a “security” under the Securities Act and the \nExchange Act."",""Investment Contracts \nBecause There Is No Reasonable Expectation of Profits  \nWe focus our analysis on the “reasonable expectation of profits” prong of the Howey test \nand conclude that MegPrime tokens are not investment contracts because there is no \nreasonable expectation of profits."",""investment of money; \n(2 ) in a common enterprise; (3) with a reasonable expectation of profits; (4) derived from the \nefforts of others."",""common enterprise; (3) with a reasonable expectation of profits; (4) derived from the \nefforts of others.""]"
286,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
287,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
288,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
289,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
290,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
291,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
292,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
293,alleged,alleged,alleged,alleged,1,"[""investment contracts and therefore are securities within the meaning of the Securities Act and \nExchange Act."",""investment of money in the form of fiat \ncurrency or crypto assets."",""common \nenterprise with the expectation of profits to be derived from the efforts of others."",""expectation of profits produced by \nthe efforts of others."",""expectation of profits to be derived from the efforts of others."",""expectation \nof profits to be derived from the efforts of others.""]"
294,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
295,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
296,alleged,alleged,alleged,alleged,1,"[""investment contracts to investors that purported to provide \ninvestors with passive profits from mining rigs that—though ostensibly purchased by investors \nfrom VBit—were entirely controlled and operated by VBit."",""investment contracts and therefore securities \npursuant to Section 2(a)(1) of the Securities Act and Section 3(a)(10) of the Exchange Act."",""investment contract involves: (1) the investment of money; (2) in a common \nenterprise; (3) with a reasonable expectation of profits to be derived from the efforts of others."",""investment contracts, and thus “securities” \nunder Section 2(a)(1) [15 US."",""investment of money; (2) in a common \nenterprise; (3) with a reasonable expectation of profits to be derived from the efforts of others."",""common \nenterprise; (3) with a reasonable expectation of profits to be derived from the efforts of others."",""expectation of profits to be derived from the efforts of others."",""efforts of third parties—Vo \nand his agents—because investors relied on VBit’s operation and control of the mining rigs to \ngenerate profits.""]"
297,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
298,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
299,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
300,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
301,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
302,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
303,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
304,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
305,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
306,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
307,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
308,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
309,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
310,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
311,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
312,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
313,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
314,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
315,alleged,alleged,alleged,alleged,1,"[""Howey investment contract securities analysis, recognizing that there are limiting principles to our laws and regulations."",""Howey applies in a way that recognizes the fact that investment contracts can come to an end; and third, what that could mean in practice for innovators, intermediaries, and investors."",""Howey, Promises, and Endings\n\nNow, while most crypto assets are not themselves securities, crypto assets can be part of or subject to an investment contract."",""Howey test, at its core, entails an investment of money in a common enterprise with a reasonable expectation of profits to be derived from the essential managerial efforts of others."",""Howey’s citrus empire."",""Howey purchased over 60,000 acres of largely untamed land to plant orange and grapefruit groves in the shadow of his mansion."",""Howey’s arrangement and established the test that would define “investment contract” for generations."",""Howey’s land tells a different story.""]"
316,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
317,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
318,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
319,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
320,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
321,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
322,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
323,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
324,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
325,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
326,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
327,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
328,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
329,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
330,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
331,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
332,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
333,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
334,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
335,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
336,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
337,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
338,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
339,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
340,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
341,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
342,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
343,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
344,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
345,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
346,not_discussed,not_discussed,not_discussed,not_discussed,0,[]
